Providers,Services
2Gether NHS Foundation Trust,Acute internal medicine
Aintree University Hospital NHS Foundation Trust,Adult mental illness
Airedale NHS Foundation Trust,Anaesthetics
Alder Hey Children's NHS Foundation Trust,Audiological medicine
Ashford And St Peter's Hospitals NHS Foundation Trust,Blood transfusion
Avon And Wiltshire Mental Health Partnership NHS Trust,Cardiology
"Barking, Havering And Redbridge University Hospitals NHS Trust",Cardiothoracic surgery
"Barnet, Enfield And Haringey Mental Health NHS Trust",Chemical pathology
Barnsley Hospital NHS Foundation Trust,Child and adolescent psychiatry
Barts Health NHS Trust,Clinical genetics
Basildon And Thurrock University Hospitals NHS Foundation Trust,Clinical haematology
Bedford Hospital NHS Trust,Clinical immunology and allergy
Berkshire Healthcare NHS Foundation Trust,Clinical neuro-physiology
Birmingham And Solihull Mental Health NHS Foundation Trust,Clinical oncology (previously radiotherapy)
Birmingham Community Healthcare NHS Foundation Trust,Clinical pharmacology
Birmingham Women's And Children's NHS Foundation Trust,Clinical physiology
Black Country Partnership NHS Foundation Trust,Community health services dental
Blackpool Teaching Hospitals NHS Foundation Trust,Community medicine
Bolton NHS Foundation Trust,Community sexual and reproductive health
Bradford District Care NHS Foundation Trust,Critical care medicine
Bradford Teaching Hospitals NHS Foundation Trust,Dental medicine specialties
Bridgewater Community Healthcare NHS Foundation Trust,Dermatology
Brighton And Sussex University Hospitals NHS Trust,Endocrinology
Buckinghamshire Healthcare NHS Trust,Endodontics
Burton Hospitals NHS Foundation Trust,ENT
Calderdale And Huddersfield NHS Foundation Trust,Forensic psychiatry
Cambridge University Hospitals NHS Foundation Trust,Gastroenterology
Cambridgeshire And Peterborough NHS Foundation Trust,General dental practice
Cambridgeshire Community Services NHS Trust,General medical practice
Camden And Islington NHS Foundation Trust,General medicine
Central And North West London NHS Foundation Trust,General pathology
Central London Community Healthcare NHS Trust,General surgery
Chelsea And Westminster Hospital NHS Foundation Trust,Genitourinary medicine
Cheshire And Wirral Partnership NHS Foundation Trust,Geriatric medicine
Chesterfield Royal Hospital NHS Foundation Trust,Gynaecology
City Hospitals Sunderland NHS Foundation Trust,Haematology
Colchester Hospital University NHS Foundation Trust,Histopathology
Cornwall Partnership NHS Foundation Trust,Immunopathology
Countess Of Chester Hospital NHS Foundation Trust,Infectious diseases
County Durham And Darlington NHS Foundation Trust,Learning disability
Coventry And Warwickshire Partnership NHS Trust,Medical microbiology (also known as microbiology and bacteriology)
Croydon Health Services NHS Trust,Medical microbiology and virology
Cumbria Partnership NHS Foundation Trust,Medical oncology
Dartford And Gravesham NHS Trust,Medical ophthalmology
Derby Teaching Hospitals NHS Foundation Trust,Medical virology
Derbyshire Community Health Services NHS Foundation Trust,Midwife episode
Derbyshire Healthcare NHS Foundation Trust,Nephrology
Devon Partnership NHS Trust,Neurology
Doncaster And Bassetlaw Teaching Hospitals NHS Foundation Trust,Neurosurgery
Dorset County Hospital NHS Foundation Trust,Nuclear medicine
Dorset Healthcare University NHS Foundation Trust,Obstetrics
Dudley And Walsall Mental Health Partnership NHS Trust,Obstetrics and gynaecology
East And North Hertfordshire NHS Trust,Occupational medicine
East Cheshire NHS Trust,Old age psychiatry
East Kent Hospitals University NHS Foundation Trust,Ophthalmology
East Lancashire Hospitals NHS Trust,Oral & maxillo facial surgery
East London NHS Foundation Trust,Oral surgery
East Midlands Ambulance Service NHS Trust,Orthodontics
East Of England Ambulance Service NHS Trust,Paediatric cardiology
East Sussex Healthcare NHS Trust,Paediatric dentistry
Epsom And St Helier University Hospitals NHS Trust,Paediatric neurology
Essex Partnership University NHS Foundation Trust,Paediatric surgery
Frimley Health NHS Foundation Trust,Paediatrics
Gateshead Health NHS Foundation Trust,Palliative medicine
George Eliot Hospital NHS Trust,Periodontics
Gloucestershire Care Services NHS Trust,Plastic surgery
Gloucestershire Hospitals NHS Foundation Trust,Prosthodontics
Great Ormond Street Hospital For Children NHS Foundation Trust,Psychotherapy
Great Western Hospitals NHS Foundation Trust,Radiology
Greater Manchester Mental Health NHS Foundation Trust,Rehabilitation
Guy's And St Thomas' NHS Foundation Trust,Respiratory medicine (also known as thoracic medicine)
Hampshire Hospitals NHS Foundation Trust,Restorative dentistry
Harrogate And District NHS Foundation Trust,Rheumatology
Heart Of England NHS Foundation Trust,Special care dentistry
Hertfordshire Community NHS Trust,Sport and exercise medicine
Hertfordshire Partnership University NHS Foundation Trust,Surgical dentistry
Homerton University Hospital NHS Foundation Trust,Trauma & orthopaedics
Hounslow And Richmond Community Healthcare NHS Trust,Tropical medicine
Hull And East Yorkshire Hospitals NHS Trust,Urology
Humber NHS Foundation Trust,
Imperial College Healthcare NHS Trust,
Ipswich Hospital NHS Trust,
Isle Of Wight NHS Trust,
James Paget University Hospitals NHS Foundation Trust,
Kent And Medway NHS And Social Care Partnership Trust,
Kent Community Health NHS Foundation Trust,
Kettering General Hospital NHS Foundation Trust,
King's College Hospital NHS Foundation Trust,
Kingston Hospital NHS Foundation Trust,
Lancashire Care NHS Foundation Trust,
Lancashire Teaching Hospitals NHS Foundation Trust,
Leeds And York Partnership NHS Foundation Trust,
Leeds Community Healthcare NHS Trust,
Leeds Teaching Hospitals NHS Trust,
Leicestershire Partnership NHS Trust,
Lewisham And Greenwich NHS Trust,
Lincolnshire Community Health Services NHS Trust,
Lincolnshire Partnership NHS Foundation Trust,
Liverpool Community Health NHS Trust,
Liverpool Heart And Chest Hospital NHS Foundation Trust,
Liverpool Women's NHS Foundation Trust,
London Ambulance Service NHS Trust,
London North West University Healthcare NHS Trust,
Luton And Dunstable University Hospital NHS Foundation Trust,
Maidstone And Tunbridge Wells NHS Trust,
Manchester University NHS Foundation Trust,
Medway NHS Foundation Trust,
Mersey Care NHS Foundation Trust,
Mid Cheshire Hospitals NHS Foundation Trust,
Mid Essex Hospital Services NHS Trust,
Mid Staffordshire NHS Foundation Trust,
Mid Yorkshire Hospitals NHS Trust,
Milton Keynes University Hospital NHS Foundation Trust,
Moorfields Eye Hospital NHS Foundation Trust,
Norfolk And Norwich University Hospitals NHS Foundation Trust,
Norfolk And Suffolk NHS Foundation Trust,
Norfolk Community Health And Care NHS Trust,
North Bristol NHS Trust,
North Cumbria University Hospitals NHS Trust,
North East Ambulance Service NHS Foundation Trust,
North East London NHS Foundation Trust,
North Middlesex University Hospital NHS Trust,
North Staffordshire Combined Healthcare NHS Trust,
North Tees And Hartlepool NHS Foundation Trust,
North West Ambulance Service NHS Trust,
North West Anglia NHS Foundation Trust,
North West Boroughs Healthcare NHS Foundation Trust,
Northampton General Hospital NHS Trust,
Northamptonshire Healthcare NHS Foundation Trust,
Northern Devon Healthcare NHS Trust,
Northern Lincolnshire And Goole NHS Foundation Trust,
"Northumberland, Tyne And Wear NHS Foundation Trust",
Northumbria Healthcare NHS Foundation Trust,
Nottingham University Hospitals NHS Trust,
Nottinghamshire Healthcare NHS Foundation Trust,
Oxford Health NHS Foundation Trust,
Oxford University Hospitals NHS Foundation Trust,
Oxleas NHS Foundation Trust,
Pennine Acute Hospitals NHS Trust,
Pennine Care NHS Foundation Trust,
Plymouth Hospitals NHS Trust,
Poole Hospital NHS Foundation Trust,
Portsmouth Hospitals NHS Trust,
Public Health Wales NHS Trust,
Queen Victoria Hospital NHS Foundation Trust,
Rotherham Doncaster And South Humber NHS Foundation Trust,
Royal Berkshire NHS Foundation Trust,
Royal Brompton & Harefield NHS Foundation Trust,
Royal Cornwall Hospitals NHS Trust,
Royal Devon And Exeter NHS Foundation Trust,
Royal Free London NHS Foundation Trust,
Royal Liverpool And Broadgreen University Hospitals NHS Trust,
Royal National Orthopaedic Hospital NHS Trust,
Royal Papworth Hospital NHS Foundation Trust,
Royal Surrey County Hospital NHS Foundation Trust,
Royal United Hospitals Bath NHS Foundation Trust,
Salford Royal NHS Foundation Trust,
Salisbury NHS Foundation Trust,
Sandwell And West Birmingham Hospitals NHS Trust,
Sheffield Children's NHS Foundation Trust,
Sheffield Health & Social Care NHS Foundation Trust,
Sheffield Teaching Hospitals NHS Foundation Trust,
Sherwood Forest Hospitals NHS Foundation Trust,
Shrewsbury And Telford Hospital NHS Trust,
Shropshire Community Health NHS Trust,
Solent NHS Trust,
Somerset Partnership NHS Foundation Trust,
South Central Ambulance Service NHS Foundation Trust,
South East Coast Ambulance Service NHS Foundation Trust,
South London And Maudsley NHS Foundation Trust,
South Staffordshire And Shropshire Healthcare NHS Foundation Trust,
South Tees Hospitals NHS Foundation Trust,
South Tyneside NHS Foundation Trust,
South Warwickshire NHS Foundation Trust,
South West London And St George's Mental Health NHS Trust,
South West Yorkshire Partnership NHS Foundation Trust,
South Western Ambulance Service NHS Foundation Trust,
Southend University Hospital NHS Foundation Trust,
Southern Health NHS Foundation Trust,
Southport And Ormskirk Hospital NHS Trust,
St George's University Hospitals NHS Foundation Trust,
St Helens And Knowsley Hospital Services NHS Trust,
Staffordshire And Stoke On Trent Partnership NHS Trust,
Stockport NHS Foundation Trust,
Surrey And Borders Partnership NHS Foundation Trust,
Surrey And Sussex Healthcare NHS Trust,
Sussex Community NHS Foundation Trust,
Sussex Partnership NHS Foundation Trust,
Tameside And Glossop Integrated Care NHS Foundation Trust,
Taunton And Somerset NHS Foundation Trust,
Tavistock And Portman NHS Foundation Trust,
"Tees, Esk And Wear Valleys NHS Foundation Trust",
The Christie NHS Foundation Trust,
The Clatterbridge Cancer Centre NHS Foundation Trust,
The Dudley Group NHS Foundation Trust,
The Hillingdon Hospitals NHS Foundation Trust,
The Newcastle Upon Tyne Hospitals NHS Foundation Trust,
The Princess Alexandra Hospital NHS Trust,
"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust",
The Robert Jones And Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,
The Rotherham NHS Foundation Trust,
The Royal Bournemouth And Christchurch Hospitals NHS Foundation Trust,
The Royal Marsden NHS Foundation Trust,
The Royal Orthopaedic Hospital NHS Foundation Trust,
The Royal Wolverhampton NHS Trust,
The Walton Centre NHS Foundation Trust,
Torbay And South Devon NHS Foundation Trust,
United Lincolnshire Hospitals NHS Trust,
University College London Hospitals NHS Foundation Trust,
University Hospital Southampton NHS Foundation Trust,
University Hospitals Birmingham NHS Foundation Trust,
University Hospitals Bristol NHS Foundation Trust,
University Hospitals Coventry And Warwickshire NHS Trust,
University Hospitals Of Leicester NHS Trust,
University Hospitals Of Morecambe Bay NHS Foundation Trust,
University Hospitals Of North Midlands NHS Trust,
Velindre NHS Trust,
Walsall Healthcare NHS Trust,
Warrington And Halton Hospitals NHS Foundation Trust,
Welsh Ambulance Services NHS Trust,
West Hertfordshire Hospitals NHS Trust,
West London Mental Health NHS Trust,
West Midlands Ambulance Service NHS Foundation Trust,
West Suffolk NHS Foundation Trust,
Western Sussex Hospitals NHS Foundation Trust,
Weston Area Health NHS Trust,
Whittington Health NHS Trust,
Wirral Community NHS Foundation Trust,
Wirral University Teaching Hospital NHS Foundation Trust,
Worcestershire Acute Hospitals NHS Trust,
Worcestershire Health And Care NHS Trust,
"Wrightington, Wigan And Leigh NHS Foundation Trust",
Wye Valley NHS Trust,
Yeovil District Hospital NHS Foundation Trust,
York Teaching Hospital NHS Foundation Trust,
Yorkshire Ambulance Service NHS Trust,
